,latitude,longitude,index,name,cost_text,Bed,Bath,Park,property_type,desc_head
34,-37.8988631,145.0019562,https://www.domain.com.au/133-north-road-brighton-vic-3186-16017654,133 North Road Brighton VIC 3186,2500,2,2,1,House,brilliant beauti
35,-37.8486962,145.0161183,https://www.domain.com.au/21-iona-avenue-toorak-vic-3142-16065186,21 Iona Avenue Toorak VIC 3142,2500.0,4,2,0,House,period famili home stellar locat
36,-37.9016247,145.0047756,https://www.domain.com.au/27-grandview-road-brighton-vic-3186-15993971,27 Grandview Road Brighton VIC 3186,2400.0,4,3,2,House,grand scale entertain famili flair
37,-37.9013936,144.9849778,https://www.domain.com.au/1-2-shandford-avenue-brighton-vic-3186-15995849,1/2 SHANDFORD Avenue Brighton VIC 3186,2400.0,5,4,3,Townhouse,foreshor beauti
38,-37.8114751,144.9586205,https://www.domain.com.au/241-299-queen-street-melbourne-vic-3000-15998618,241/299 Queen Street Melbourne VIC 3000,2400,3,2,0,Apartment / Unit / Flat,boast locat lifestyl size two level
39,-37.887544,145.087289,https://www.domain.com.au/15-webster-street-malvern-east-vic-3145-13350636,15 Webster Street Malvern East VIC 3145,2307.6923076923076,4,2,4,House,potenti room hous short term accommod
40,-37.8161357,145.0713258,https://www.domain.com.au/7-myambert-avenue-balwyn-vic-3103-15826562,7 Myambert Avenue Balwyn VIC 3103,2300,4,3,3,House,clearli one best
41,-37.8444355,145.0176639,https://www.domain.com.au/12-clendon-court-toorak-vic-3142-14238687,12 Clendon Court Toorak VIC 3142,2300,4,2,0,House,superb locat heart
42,-37.8330181,145.0118565,https://www.domain.com.au/99-grange-road-toorak-vic-3142-16076958,99 Grange Road Toorak VIC 3142,2200.0,3,2,1,House,delux hous perfect entertain area
43,-37.85662,145.018182,https://www.domain.com.au/4a-fetherston-street-armadale-vic-3143-15975645,4a Fetherston Street Armadale VIC 3143,2200.0,4,2,1,House,exclus inner urban lifestyl
44,-37.8929745,144.9956723,https://www.domain.com.au/478-new-street-brighton-vic-3186-15992205,478 New Street Brighton VIC 3186,2200,4,3,2,House,masterpiec
45,-37.8119277,145.0486915,https://www.domain.com.au/3-thomas-street-kew-vic-3101-16075570,3 Thomas Street Kew VIC 3101,2200,5,5,2,House,expans ward famili home
46,-37.95440749999999,145.0067771,https://www.domain.com.au/4-cowper-street-sandringham-vic-3191-16043512,4 Cowper Street Sandringham VIC 3191,2150.0,4,2,2,House,execut famili home
47,-37.8903662,145.0205525,https://www.domain.com.au/2a-omar-street-caulfield-south-vic-3162-16036419,2a Omar Street Caulfield South VIC 3162,2100.0,4,3,3,House,absolut perfect
48,-38.1444939,145.1433389,https://www.domain.com.au/22-campbell-street-frankston-vic-3199-15959231,22 Campbell Street Frankston VIC 3199,2100,4,2,2,House,bond furnish bill includ
49,-37.927999,145.0033766,https://www.domain.com.au/8-champion-street-brighton-vic-3186-16048073,8 Champion Street Brighton VIC 3186,2100.0,5,3,2,House,stun home superb locat
50,-37.8141725,144.9740049,https://www.domain.com.au/unit-2707-35-spring-street-melbourne-vic-3000-16044913,UNIT 2707/35 SPRING STREET Melbourne VIC 3000,2050,3,2,2,Apartment / Unit / Flat,immedi spring street view
51,-37.8942781,144.98678519999999,https://www.domain.com.au/4-19-birdwood-avenue-brighton-vic-3186-15875170,4/19 Birdwood Avenue Brighton VIC 3186,2000.0,3,3,2,Apartment / Unit / Flat,penthous balconi pool overlook bay
52,-37.8604005,144.9755109,https://www.domain.com.au/101-34-fitzroy-street-st-kilda-vic-3182-16079851,101/34 Fitzroy Street St Kilda VIC 3182,2000,2,1,1,Apartment / Unit / Flat,unconvent luxuri sophist design fulli furnish
53,-37.9245614,144.9889585,https://www.domain.com.au/2-winmarleigh-close-brighton-vic-3186-15954363,2 Winmarleigh Close Brighton VIC 3186,2000.0,5,4,3,House,eleg famili home minut beach
54,-37.808286,144.9804809,https://www.domain.com.au/163-victoria-parade-fitzroy-vic-3065-15870974,163 Victoria Parade Fitzroy VIC 3065,2000.0,4,1,0,House,histor home garag apart
55,-37.8392541,144.995015,https://www.domain.com.au/1002-243-toorak-road-south-yarra-vic-3141-16056057,1002/243 Toorak Road South Yarra VIC 3141,2000,2,2,2,Apartment / Unit / Flat,fulli furnish capitol grand apart
56,-37.980529,145.0519862,https://www.domain.com.au/7-bonanza-road-beaumaris-vic-3193-15960625,7 Bonanza Road Beaumaris VIC 3193,2000,5,3,2,House,luxuri famili compound first class locat
57,-37.8073886,144.962087,https://www.domain.com.au/3803-483-swanston-street-melbourne-vic-3000-15680157,3803/483 Swanston Street Melbourne VIC 3000,2000,3,2,2,Apartment / Unit / Flat,breath take view execut style live fulli furnish
58,-37.8302556,144.9579151,https://www.domain.com.au/85-market-street-south-melbourne-vic-3205-14089206,85 Market Street South Melbourne VIC 3205,2000.0,2,3,0,Apartment / Unit / Flat,call self contain execut bedroom bathroom apart short stay minimum week stay per week
59,-37.8161357,145.0713258,https://www.domain.com.au/7-myambert-avenue-balwyn-vic-3103-15996572,7 Myambert Avenue Balwyn VIC 3103,2000.0,6,4,2,House,charm exclus central locat
60,-37.9169,145.0147997,https://www.domain.com.au/8-st-finbars-crescent-brighton-east-vic-3187-15969436,8 St Finbars Crescent Brighton East VIC 3187,1995.0,5,3,4,House,let
61,-37.8577879,144.9811923,https://www.domain.com.au/802-181-fitzroy-st-st-kilda-vic-3182-15915050,802/181 Fitzroy St St Kilda VIC 3182,1975,2,2,1,Apartment / Unit / Flat,stylish penthous execut live magnific view conveni locat
62,-37.9427326,145.0114045,https://www.domain.com.au/52-sargood-street-hampton-vic-3188-16053158,52 Sargood Street Hampton VIC 3188,1950,4,2,3,House,furnish charm four bedroom home
63,-37.8220137,144.9659363,https://www.domain.com.au/1203-57-city-road-southbank-vic-3006-15631603,1203/57 City Road Southbank VIC 3006,1950,3,2,1,Apartment / Unit / Flat,execut apart perfect locat rent inclus bill unlimit
64,-37.8445337,145.0669753,https://www.domain.com.au/27-donna-buang-street-camberwell-vic-3124-15704271,27 Donna Buang Street Camberwell VIC 3124,1900,1,1,0,House,contemporari famili home six bedroom
65,-37.9040743,144.9974369,https://www.domain.com.au/7-wagstaff-court-brighton-vic-3186-15967461,7 Wagstaff Court Brighton VIC 3186,1900,5,3,4,House,ultim lifestyl
66,-37.8831984,144.9894319,https://www.domain.com.au/120-glen-huntly-road-elwood-vic-3184-16058926,120 Glen Huntly Road Elwood VIC 3184,1900,2,2,1,Townhouse,level luxuri resid
67,-37.9218363,144.9971144,https://www.domain.com.au/9-exon-street-brighton-vic-3186-16020106,9 Exon Street Brighton VIC 3186,1850.0,4,2,4,House,spaciou famili entertain
68,-37.973172,145.0166374,https://www.domain.com.au/19-iona-street-black-rock-vic-3193-16018912,19 Iona Street Black Rock VIC 3193,1850,4,1,2,House,water view wonder premier poolsid lifestyl
69,-37.8368651,145.0082406,https://www.domain.com.au/23a-bruce-street-toorak-vic-3142-16012345,23A Bruce Street Toorak VIC 3142,1850,4,2,2,House,eleg north villag
70,-37.8350884,145.0554322,https://www.domain.com.au/103-pleasant-road-hawthorn-east-vic-3123-16076834,103 Pleasant Road Hawthorn East VIC 3123,1850,4,2,4,Townhouse,stun qualiti modern luxuri junction conveni
71,-37.8967832,144.9872371,https://www.domain.com.au/5-alimar-court-brighton-vic-3186-15910332,5 Alimar Court Brighton VIC 3186,1800.0,4,2,2,House,lifestyl
72,-37.8390089,144.9954417,https://www.domain.com.au/2301-1-almeida-crescent-south-yarra-vic-3141-14425729,2301/1 Almeida Crescent South Yarra VIC 3141,1800,2,2,1,Apartment / Unit / Flat,luxuri bedroom capitol grand
73,-37.851786,144.9581506,https://www.domain.com.au/112-harold-st-middle-park-vic-3206-16049514,112 Harold St Middle Park VIC 3206,1800,4,2,0,House,eleg sea
74,-37.8161275,144.984988,https://www.domain.com.au/1302-1-powlett-street-east-melbourne-vic-3002-15984037,1302/1 Powlett Street East Melbourne VIC 3002,1800.0,1,1,1,Apartment / Unit / Flat,penthous breathtak view
75,-37.8381353,145.0428994,https://www.domain.com.au/2-airedale-avenue-hawthorn-east-vic-3123-16029073,2 Airedale Avenue Hawthorn East VIC 3123,1800.0,4,2,0,House,stun contemporari resid
76,-37.9527473,145.0172376,https://www.domain.com.au/24-dreadnought-street-sandringham-vic-3191-16037409,24 Dreadnought Street Sandringham VIC 3191,1800,4,1,2,House,light bright modern spaciou famili home pool
77,-37.8149074,145.0724458,https://www.domain.com.au/24-salisbury-street-balwyn-vic-3103-16081852,24 Salisbury Street Balwyn VIC 3103,1800,4,3,2,House,beauti stylish hous
78,-37.8255907,144.9705826,https://www.domain.com.au/417-250-st-kilda-road-southbank-vic-3006-16052549,417/250 St Kilda Road Southbank VIC 3006,1800,2,2,0,Apartment / Unit / Flat,prestigi address
79,-37.8162107,144.9859245,https://www.domain.com.au/7-126-wellington-parade-east-melbourne-vic-3002-16061003,7/126 Wellington Parade East Melbourne VIC 3002,1800,2,2,1,Apartment / Unit / Flat,furnish penthous entertain crown jewel citi view
80,-37.8318086,144.9710272,https://www.domain.com.au/1901-368-st-kilda-road-melbourne-vic-3000-16073890,1901/368 St Kilda Road Melbourne VIC 3000,1800,2,2,2,Apartment / Unit / Flat,royal domain apart offer best view
81,-37.851373,144.990978,https://www.domain.com.au/1-125-high-st-prahran-vic-3181-15340091,1/125 High St Prahran VIC 3181,1799,3,3,1,Apartment / Unit / Flat,featur popular realiti seri block avail week minimum month
82,-37.8615448,144.980653,https://www.domain.com.au/12-gurner-street-st-kilda-vic-3182-16000740,12 Gurner Street St Kilda VIC 3182,1750.0,4,2,0,House,st showstopp
83,-37.8475835,145.0382487,https://www.domain.com.au/22-ethel-street-malvern-vic-3144-16026921,22 Ethel Street Malvern VIC 3144,1750.0,6,4,3,House,modern famili live outdoor balanc
84,-37.921372,145.0083913,https://www.domain.com.au/140-dendy-street-brighton-east-vic-3187-16006734,140 Dendy Street Brighton East VIC 3187,1750.0,5,3,2,House,magnific famili home flexibl live option
85,-37.8675203,144.9922635,https://www.domain.com.au/15c-alfred-street-balaclava-vic-3183-15045825,15C Alfred Street Balaclava VIC 3183,1731,5,1,2,House,enorm hous heart balaclava amaz valu suit group
86,-37.8310247,145.0554317,https://www.domain.com.au/penthouse-469-riversdale-road-hawthorn-east-vic-3123-15925871,Penthouse/469 Riversdale Road Hawthorn East VIC 3123,1700,4,2,1,Apartment / Unit / Flat,brand new penthous degre view
87,-37.9082205,145.0202942,https://www.domain.com.au/14-mackie-grove-brighton-east-vic-3187-16056520,14 Mackie Grove Brighton East VIC 3187,1700.0,3,3,2,House,polish gem wonder east famili home
88,-37.8483586,144.9600865,https://www.domain.com.au/167-richardson-street-middle-park-vic-3206-16073349,167 Richardson Street Middle Park VIC 3206,1700.0,3,2,1,House,attract newli renov home ideal locat
89,-37.9276055,145.0145686,https://www.domain.com.au/238b-were-street-brighton-east-vic-3187-16047072,238B Were Street Brighton East VIC 3187,1700.0,5,3,2,Townhouse,luxuri finest golf cours view
90,-37.8356144,144.980566,https://www.domain.com.au/76-millswyn-street-south-yarra-vic-3141-15880809,76 Millswyn Street South Yarra VIC 3141,1700.0,2,1,0,House,except live premium posit
91,-37.9052991,144.9865485,https://www.domain.com.au/19-moule-avenue-brighton-vic-3186-15981059,19 Moule Avenue Brighton VIC 3186,1695.0,5,4,2,House,grand entertain golden mile
92,-37.9048689,144.991408,https://www.domain.com.au/4-newbay-crescent-brighton-vic-3186-16001646,4 Newbay Crescent Brighton VIC 3186,1690.0,3,2,2,House,famili home blue chip address
93,-37.8644429,145.0070354,https://www.domain.com.au/25-holroyd-avenue-st-kilda-east-vic-3183-16059289,25 Holroyd Avenue St Kilda East VIC 3183,1650.0,4,2,0,House,pictur perfect creatur comfort
94,-37.840077,144.941296,https://www.domain.com.au/18-156-bay-street-port-melbourne-vic-3207-16077726,18/156 Bay Street Port Melbourne VIC 3207,1650,3,2,2,Apartment / Unit / Flat,villag penthous live
95,-37.8223083,145.0750521,https://www.domain.com.au/5-victoria-avenue-canterbury-vic-3126-15910266,5 Victoria Avenue Canterbury VIC 3126,1650.0,4,2,2,House,majest famili charm golden mile
96,-37.7788445,144.9011622,https://www.domain.com.au/8-tregunter-st-ascot-vale-vic-3032-16070702,8 Tregunter St Ascot Vale VIC 3032,1650.0,1,3,6,House,suprem riversid lifestyl live
97,-37.9042083,145.0021284,https://www.domain.com.au/2-10-asling-street-brighton-vic-3186-16043580,2/10 Asling Street Brighton VIC 3186,1650.0,5,3,2,Townhouse,luxuri locat lifestyl
98,-37.806543,144.95431,https://www.domain.com.au/464-william-street-west-melbourne-vic-3003-16077606,464 William Street West Melbourne VIC 3003,1650.0,2,2,0,House,luxuri space
99,-37.8260239,144.9595477,https://www.domain.com.au/5701-260-city-rd-southbank-vic-3006-15965033,5701/260 City Rd Southbank VIC 3006,1615,3,2,0,Apartment / Unit / Flat,luxuri feel like home heart
100,-37.81237309999999,145.0431577,https://www.domain.com.au/90-edgevale-road-kew-vic-3101-16078741,90 Edgevale Road Kew VIC 3101,1600.0,4,2,3,House,luxuri famili live
101,-37.81237309999999,145.0431577,https://www.domain.com.au/90-edgevale-road-kew-vic-3101-16078740,90 Edgevale Road Kew VIC 3101,1600.0,3,2,4,House,luxuri famili live
102,-37.8246544,145.0634276,https://www.domain.com.au/28-russell-street-camberwell-vic-3124-16003445,28 Russell Street Camberwell VIC 3124,1600,5,3,2,House,contact privat inspect
103,-37.8406272,144.9407724,https://www.domain.com.au/301-130-bay-street-port-melbourne-vic-3207-16014905,301/130 Bay Street Port Melbourne VIC 3207,1600,3,2,1,Apartment / Unit / Flat,sensat rooftop terrac
104,-37.8008811,145.072015,https://www.domain.com.au/9-kendari-ave-balwyn-north-vic-3104-16067409,9 Kendari Ave Balwyn North VIC 3104,1595.0,4,2,2,House,modern parkland home
105,-37.8008811,145.072015,https://www.domain.com.au/9-kendari-ave-balwyn-north-vic-3104-16028178,9 Kendari Ave Balwyn North VIC 3104,1595.0,6,3,2,House,modern parkland home
106,-37.79429020000001,145.0616907,https://www.domain.com.au/4-829-high-street-kew-east-vic-3102-16049165,4/829 High Street Kew East VIC 3102,1580,2,1,1,Apartment / Unit / Flat,brand new luxuri appoint penthous live terrac rooftop
107,-37.9186389,145.0502279,https://www.domain.com.au/14-evelyn-street-bentleigh-vic-3204-15988200,14 Evelyn Street Bentleigh VIC 3204,1550.0,4,2,4,Townhouse,sensat famili live pool
108,-37.8459438,144.9584503,https://www.domain.com.au/53-hambleton-street-albert-park-vic-3206-16066946,53 Hambleton Street Albert Park VIC 3206,1550.0,4,3,3,House,corner delight bedroom home two street frontag
109,-37.8542234,145.0644339,https://www.domain.com.au/24-gardiner-parade-glen-iris-vic-3146-16058635,24 Gardiner Parade Glen Iris VIC 3146,1550,2,1,3,House,locat perfect gener famili
110,-37.8350886,145.0554331,https://www.domain.com.au/103a-pleasant-road-hawthorn-east-vic-3123-16077226,103A Pleasant Road Hawthorn East VIC 3123,1550.0,4,3,3,Townhouse,breathtak new townhous absolut sensat
111,-37.8675296,144.9927002,https://www.domain.com.au/5-alfred-st-balaclava-vic-3183-15884901,5 Alfred St Balaclava VIC 3183,1504,4,2,2,House,renov hous premier locat
112,-37.82776339999999,144.9567525,https://www.domain.com.au/2803-63-haig-street-southbank-vic-3006-15631602,2803/63 Haig Street Southbank VIC 3006,1500,2,1,1,Apartment / Unit / Flat,bed bath fulli furnish park unlimit
113,-37.93645009999999,144.9982116,https://www.domain.com.au/71b-orlando-street-hampton-vic-3188-16056805,71B Orlando Street Hampton VIC 3188,1500,4,2,2,Townhouse,beach lifestyl brand new luxuri resid
114,-37.8533331,145.0879208,https://www.domain.com.au/9-muriel-street-glen-iris-vic-3146-16055689,9 Muriel Street Glen Iris VIC 3146,1500.0,4,3,2,House,evoc eleg except grand ladi
115,-37.8412014,145.0911679,https://www.domain.com.au/3-6-gilmour-rd-camberwell-vic-3124-16066736,3/6 Gilmour Rd Camberwell VIC 3124,1500.0,3,2,4,Townhouse,brand new modern sophist
116,-37.9249853,145.0045376,https://www.domain.com.au/685-hampton-street-brighton-vic-3186-16030685,685 Hampton Street Brighton VIC 3186,1500,5,3,2,House,leas
117,-37.8045402,144.9575597,https://www.domain.com.au/51a-o-connell-street-north-melbourne-vic-3051-16069317,51A O'Connell Street North Melbourne VIC 3051,1500,1,1,0,Apartment / Unit / Flat,award win warehous apart
118,-37.8231797,145.0078448,https://www.domain.com.au/283a-burnley-street-richmond-vic-3121-16064303,283A Burnley Street Richmond VIC 3121,1500,1,1,1,Townhouse,spectacular storey townhous rooftop terrac citi view lift turn tabl park
119,-37.8083229,144.9908124,https://www.domain.com.au/4-18-22-islington-street-collingwood-vic-3066-14109551,4/18-22 Islington Street Collingwood VIC 3066,1500,3,3,2,Townhouse,level townhous outstand view
120,-37.8301549,144.9500578,https://www.domain.com.au/2702-89-gladstone-street-south-melbourne-vic-3205-15631589,2702/89 Gladstone Street South Melbourne VIC 3205,1500,2,2,1,Apartment / Unit / Flat,inclus execut bay view resid free park
121,-37.8449043,145.0490361,https://www.domain.com.au/4-39-lawson-street-hawthorn-east-vic-3123-14653886,4/39 Lawson Street Hawthorn East VIC 3123,1500,4,3,2,Townhouse,premium live without comparison
122,-37.81359399999999,144.992457,https://www.domain.com.au/501-8-10-new-street-richmond-vic-3121-16035219,501/8-10 New Street Richmond VIC 3121,1500,1,1,1,Apartment / Unit / Flat,luxuri penthous apart spectacular view
123,-37.8136966,144.953207,https://www.domain.com.au/241-538-little-lonsdale-street-melbourne-vic-3000-16073278,241/538 Little Lonsdale Street Melbourne VIC 3000,1500,3,2,0,Apartment / Unit / Flat,luxuri doubl stori penthous
124,-37.8161444,144.9804594,https://www.domain.com.au/east-melbourne-vic-3002-15589957,East Melbourne VIC 3002,1500,1,1,1,Apartment / Unit / Flat,light fill larg bedroom locat
125,-37.8137726,145.1075618,https://www.domain.com.au/52-victoria-crescent-mont-albert-vic-3127-16018854,52 Victoria Crescent Mont Albert VIC 3127,1500,2,1,1,House,style retreat
126,-37.8411,144.990439,https://www.domain.com.au/22-davis-avenue-south-yarra-vic-3141-16072495,22 Davis Avenue South Yarra VIC 3141,1500.0,4,2,0,House,south finest live
127,-37.9145643,145.0055719,https://www.domain.com.au/unit-1-9-stanley-street-brighton-vic-3186-15235651,Unit 1/9 Stanley Street Brighton VIC 3186,1500,5,3,2,Townhouse,blue chip brillianc
128,-37.809144,144.958903,https://www.domain.com.au/4-15-19-anthony-street-melbourne-vic-3000-14905828,4/15-19 Anthony Street Melbourne VIC 3000,1500,4,2,1,Apartment / Unit / Flat,doubl storey penthous apart
129,-37.8650177,144.9746821,https://www.domain.com.au/2403-14-16-the-esplanade-st-kilda-vic-3182-16011041,2403/14-16 The Esplanade St Kilda VIC 3182,1500,3,2,2,Apartment / Unit / Flat,pinnacl prestigi apart live saint
130,-37.9326791,145.0200144,https://www.domain.com.au/11b-olive-st-hampton-vic-3188-16066090,11B Olive St Hampton VIC 3188,1500.0,3,2,2,House,inspect detail contact com
131,-37.8412014,145.0911679,https://www.domain.com.au/3-6-gilmour-rd-camberwell-vic-3124-16066737,3/6 Gilmour Rd Camberwell VIC 3124,1500.0,4,3,2,Townhouse,brand new modern sophist
132,-37.84710889999999,144.959495,https://www.domain.com.au/86-hambleton-street-middle-park-vic-3206-16079300,86 Hambleton Street Middle Park VIC 3206,1500,3,2,1,House,lavish famili home desir local
133,-37.9156204,144.9983193,https://www.domain.com.au/43-black-street-brighton-vic-3186-15831389,43 Black Street Brighton VIC 3186,1500.0,5,3,2,House,famili home fantast middl locat
134,-37.7976499,145.0280439,https://www.domain.com.au/7-lower-drive-kew-vic-3101-16030054,7 Lower Drive Kew VIC 3101,1500.0,3,1,2,House,incred luxuri home
135,-37.7946034,144.9571934,https://www.domain.com.au/72-fitzgibbon-street-parkville-vic-3052-15868255,72 Fitzgibbon Street Parkville VIC 3052,1495,3,1,1,House,execut live charm
136,-37.873865,144.977457,https://www.domain.com.au/1-marine-avenue-st-kilda-vic-3182-15610447,1 Marine Avenue St Kilda VIC 3182,1495,4,2,0,House,except rare famili home water view
137,-37.7945984,145.0250731,https://www.domain.com.au/36-cypress-way-kew-vic-3101-16029394,36 Cypress Way Kew VIC 3101,1495.0,4,2,0,House,contemporari home sought locat
138,-37.9036436,144.9894542,https://www.domain.com.au/41-bay-street-brighton-vic-3186-15910483,41 Bay Street Brighton VIC 3186,1490.0,3,3,2,House,bay near bay
139,-37.8043508,144.9481504,https://www.domain.com.au/18-18-curzon-street-west-melbourne-vic-3003-15672851,18/18 Curzon Street West Melbourne VIC 3003,1450,3,2,1,Apartment / Unit / Flat,spaciou industri modern apart furnish bill includ
140,-37.9182554,145.0151067,https://www.domain.com.au/3-bown-court-brighton-east-vic-3187-15919106,3 Bown Court Brighton East VIC 3187,1450.0,5,3,2,House,stun pool compliment larg home
